Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",-191.945500,-263.144000,180.000000,bottom
"C2","22pF","C_0805_2012Metric",-189.103000,-266.621500,90.000000,bottom
"C3","1uF","C_0805_2012Metric",-181.610000,-277.827500,270.000000,bottom
"C4","4.7uF","C_0805_2012Metric",-178.466750,-281.226500,90.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-181.641750,-281.256500,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-178.466750,-276.430500,270.000000,bottom
"C7","0.1uF","C_0805_2012Metric",-175.545750,-281.256500,90.000000,bottom
"C8","4.7uF","C_0805_2012Metric",-186.086750,-239.903000,0.000000,bottom
"D0","SOD-123","D_SOD-123",-14.350000,-250.825000,180.000000,bottom
"D1","SOD-123","D_SOD-123",-69.215000,-252.348000,90.000000,bottom
"D2","SOD-123","D_SOD-123",-107.315000,-252.349000,90.000000,bottom
"D3","SOD-123","D_SOD-123",-145.415000,-252.349000,90.000000,bottom
"D4","SOD-123","D_SOD-123",-175.260000,-252.223000,90.000000,bottom
"D5","SOD-123","D_SOD-123",-226.441000,-252.348000,90.000000,bottom
"D6","SOD-123","D_SOD-123",-269.240000,-252.349000,90.000000,bottom
"D7","SOD-123","D_SOD-123",-307.340000,-252.348000,90.000000,bottom
"D8","SOD-123","D_SOD-123",-345.440000,-252.221000,90.000000,bottom
"D9","SOD-123","D_SOD-123",-393.573000,-251.586000,90.000000,bottom
"D10","SOD-123","D_SOD-123",-440.690000,-252.731000,90.000000,bottom
"D100","SOD-123","D_SOD-123",-40.640000,-254.731250,90.000000,bottom
"D101","SOD-123","D_SOD-123",-88.265000,-253.809500,90.000000,bottom
"D102","SOD-123","D_SOD-123",-126.492000,-253.936500,90.000000,bottom
"D103","SOD-123","D_SOD-123",-164.465000,-253.937500,90.000000,bottom
"D104","SOD-123","D_SOD-123",-207.391000,-253.491000,90.000000,bottom
"D105","SOD-123","D_SOD-123",-245.491000,-253.491000,90.000000,bottom
"D106","SOD-123","D_SOD-123",-288.290000,-253.491000,90.000000,bottom
"D107","SOD-123","D_SOD-123",-326.390000,-253.493000,90.000000,bottom
"D108","SOD-123","D_SOD-123",-364.490000,-253.491000,90.000000,bottom
"D109","SOD-123","D_SOD-123",-413.131000,-255.017000,90.000000,bottom
"D200","SOD-123","D_SOD-123",-12.065000,-271.399000,90.000000,bottom
"D201","SOD-123","D_SOD-123",-64.643000,-271.399000,90.000000,bottom
"D202","SOD-123","D_SOD-123",-107.442000,-271.399000,90.000000,bottom
"D203","SOD-123","D_SOD-123",-145.542000,-271.399000,90.000000,bottom
"D204","SOD-123","D_SOD-123",-175.897000,-259.970000,270.000000,bottom
"D205","SOD-123","D_SOD-123",-226.314000,-271.399000,90.000000,bottom
"D206","SOD-123","D_SOD-123",-269.113000,-271.399000,90.000000,bottom
"D207","SOD-123","D_SOD-123",-307.340000,-271.399000,90.000000,bottom
"D208","SOD-123","D_SOD-123",-345.440000,-271.399000,90.000000,bottom
"D209","SOD-123","D_SOD-123",-388.366000,-271.399000,90.000000,bottom
"D300","SOD-123","D_SOD-123",-35.941000,-272.986500,90.000000,bottom
"D301","SOD-123","D_SOD-123",-88.392000,-272.986500,90.000000,bottom
"D302","SOD-123","D_SOD-123",-126.492000,-272.986500,90.000000,bottom
"D303","SOD-123","D_SOD-123",-164.465000,-273.114500,90.000000,bottom
"D304","SOD-123","D_SOD-123",-213.233000,-272.987500,90.000000,bottom
"D305","SOD-123","D_SOD-123",-245.364000,-272.986500,90.000000,bottom
"D306","SOD-123","D_SOD-123",-288.290000,-272.986500,90.000000,bottom
"D307","SOD-123","D_SOD-123",-326.390000,-272.986500,90.000000,bottom
"D308","SOD-123","D_SOD-123",-364.490000,-272.859500,90.000000,bottom
"D309","SOD-123","D_SOD-123",-412.115000,-272.986500,90.000000,bottom
"D400","SOD-123","D_SOD-123",-14.351000,-290.068000,90.000000,bottom
"D401","SOD-123","D_SOD-123",-57.404000,-290.577000,90.000000,bottom
"D402","SOD-123","D_SOD-123",-107.442000,-290.449000,90.000000,bottom
"D403","SOD-123","D_SOD-123",-145.542000,-290.449000,90.000000,bottom
"D404","SOD-123","D_SOD-123",-174.879000,-290.450000,90.000000,bottom
"D405","SOD-123","D_SOD-123",-226.441000,-290.576000,90.000000,bottom
"D406","SOD-123","D_SOD-123",-269.494000,-290.576000,90.000000,bottom
"D407","SOD-123","D_SOD-123",-307.340000,-290.576000,90.000000,bottom
"D408","SOD-123","D_SOD-123",-345.440000,-290.576000,90.000000,bottom
"D409","SOD-123","D_SOD-123",-383.540000,-290.576000,90.000000,bottom
"D410","SOD-123","D_SOD-123",-435.768750,-290.448000,90.000000,bottom
"D500","SOD-123","D_SOD-123",-20.859750,-291.719000,90.000000,bottom
"D501","SOD-123","D_SOD-123",-88.519000,-292.036500,90.000000,bottom
"D502","SOD-123","D_SOD-123",-126.396750,-292.163500,90.000000,bottom
"D503","SOD-123","D_SOD-123",-164.465000,-292.036500,90.000000,bottom
"D504","SOD-123","D_SOD-123",-212.979000,-292.037500,90.000000,bottom
"D505","SOD-123","D_SOD-123",-245.491000,-292.163500,90.000000,bottom
"D506","SOD-123","D_SOD-123",-288.544000,-292.163500,90.000000,bottom
"D507","SOD-123","D_SOD-123",-326.390000,-292.163500,90.000000,bottom
"D508","SOD-123","D_SOD-123",-364.490000,-292.163500,90.000000,bottom
"D509","SOD-123","D_SOD-123",-409.702000,-292.162500,90.000000,bottom
"D600","SOD-123","D_SOD-123",-12.065000,-314.453000,90.000000,bottom
"D601","SOD-123","D_SOD-123",-52.451000,-309.372000,90.000000,bottom
"D602","SOD-123","D_SOD-123",-107.219750,-309.499000,90.000000,bottom
"D603","SOD-123","D_SOD-123",-145.288000,-309.499000,90.000000,bottom
"D604","SOD-123","D_SOD-123",-183.515000,-309.500000,90.000000,bottom
"D605","SOD-123","D_SOD-123",-226.441000,-309.372000,90.000000,bottom
"D606","SOD-123","D_SOD-123",-269.240000,-309.372000,90.000000,bottom
"D607","SOD-123","D_SOD-123",-307.340000,-309.372000,90.000000,bottom
"D608","SOD-123","D_SOD-123",-345.440000,-309.499000,90.000000,bottom
"D609","SOD-123","D_SOD-123",-390.779000,-309.499000,90.000000,bottom
"D701","SOD-123","D_SOD-123",-88.138000,-311.086500,90.000000,bottom
"D702","SOD-123","D_SOD-123",-126.396750,-311.086500,90.000000,bottom
"D703","SOD-123","D_SOD-123",-164.496750,-311.086500,90.000000,bottom
"D704","SOD-123","D_SOD-123",-207.391000,-310.959500,90.000000,bottom
"D705","SOD-123","D_SOD-123",-245.491000,-310.959500,90.000000,bottom
"D706","SOD-123","D_SOD-123",-288.290000,-310.959500,90.000000,bottom
"D707","SOD-123","D_SOD-123",-326.390000,-311.086500,90.000000,bottom
"D708","SOD-123","D_SOD-123",-364.490000,-311.086500,90.000000,bottom
"D709","SOD-123","D_SOD-123",-421.640000,-315.786500,90.000000,bottom
"D800","SOD-123","D_SOD-123",-12.065000,-333.375000,90.000000,bottom
"D801","SOD-123","D_SOD-123",-59.690000,-328.549000,90.000000,bottom
"D802","SOD-123","D_SOD-123",-109.632750,-328.421000,90.000000,bottom
"D808","SOD-123","D_SOD-123",-345.567000,-328.549000,90.000000,bottom
"D809","SOD-123","D_SOD-123",-402.590000,-333.248000,90.000000,bottom
"D810","SOD-123","D_SOD-123",-440.817000,-333.375000,90.000000,bottom
"D900","SOD-123","D_SOD-123",-31.115000,-333.374000,90.000000,bottom
"D901","SOD-123","D_SOD-123",-85.852000,-330.137500,90.000000,bottom
"D902","SOD-123","D_SOD-123",-135.794750,-333.247000,90.000000,bottom
"D903","SOD-123","D_SOD-123",-162.083750,-333.248000,90.000000,bottom
"D904","SOD-123","D_SOD-123",-204.978000,-333.248000,90.000000,bottom
"D905","SOD-123","D_SOD-123",-252.603000,-333.248000,90.000000,bottom
"D906","SOD-123","D_SOD-123",-290.703000,-333.248000,90.000000,bottom
"D907","SOD-123","D_SOD-123",-316.865000,-333.248000,90.000000,bottom
"D908","SOD-123","D_SOD-123",-374.015000,-330.137500,90.000000,bottom
"D909","SOD-123","D_SOD-123",-421.640000,-334.835500,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",-188.595000,-248.536000,90.000000,bottom
"R1","10k","R_0805_2012Metric",-184.404000,-270.383000,90.000000,bottom
"R2","22","R_0805_2012Metric",-193.675000,-250.873500,90.000000,bottom
"R3","22","R_0805_2012Metric",-191.516000,-250.873500,90.000000,bottom
"R4","10k","R_0805_2012Metric",-200.564750,-281.353500,90.000000,bottom
"R5","1m","R_0805_2012Metric",-186.817000,-242.745500,270.000000,bottom
"R6","10k","R_0805_2012Metric",-196.168250,-285.496000,180.000000,bottom
"R7","4.7k","R_0805_2012Metric",-405.892000,-250.649500,90.000000,bottom
"R8","4.7k","R_0805_2012Metric",-408.559000,-250.619500,90.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-192.786000,-276.225000,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-191.897000,-266.573000,270.000000,bottom
